o	autorização/letra/caractér/carácter
fêmea	animal/alma/indivíduo/alguém/pessoa/criatura/bicho/ser/besta
classicismo	estilo
cervejeiro	fazedor/produtor/fabricante
rochedo	rocha/pedra
astrónomo	físico
encíclica	missiva/carta
islamismo	monoteísmo/civilização
cativo	desafortunado/desventurado
roxo	violeta/púrpura
banheira	vasilhame/vasilha/vaso
cunha	bloco/triângulo
fechadura	vão/furo/buraco
espermatozóide	gameta
desavença	discussão/disputa/controvérsia
moço	menino/jovem/menor/juvenil/macho/varão/homem/infante/garoto/rapaz/criança
descuido	equívoco/ausência/falha/erro/engano/perda/derrota
aperitivo	prato
alucinação	objecto/objeto/objetivo
velocista	chofer/condutor/motorista/conductor
rebeldia	resistência
aristocracia	escol/elite
autóctone	alma/indivíduo/alguém/pessoa
cálcio	metal
anfitriã	anfitrião/hospedeiro
isqueiro	carburante/combustível/ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento
artefato	unidade/todo
locutor	anunciador
corno	esposo/chifre/cônjuge/varão/marido/homem
nódoa	defeito
geminação	repetição
azeitona	fruta/drupa/fruto
antípoda	oposição/região
vindima	vinho
ganhador	alma/jogador/contendor/indivíduo/alguém/pessoa/apostador
enzima	proteína/catalisador
bote	embarcação/navio/barco
cêntimo	peça/rupia/rúpia/moeda/divisa/prata
regozijo	alegria
talha	arte
azeri	raça/etnicidade/etnia
penúria	carência/falta/ausência/escassez/deficiência
nexo	ligação/sequência/série
u	letra/caractér/carácter
catecismo	interrogatório/livro
bofetada	choque/tapa/porrada/golpe
alcaide	jurista/magistrado/juiz/autarca/prefeito
vocalização	regulação/reajuste
retribuição	pagamento/correção
silo	torre/roque
bolchevique	comunista
arremesso	propulsão/lançamento/impulsão
talho	loja
nominativo	caso
violoncelista	tocador/instrumentista/instrumentalista/músico
procuração	mandato
aristocrata	líder/chefe
bombo	tambor/tímpano
boda	cerimónia/cerimônia/festa
martírio	morte/angústia/dor
relâmpago	corisco/raio
paladar	percepção
cadete	estagiária/estagiário
parábola	história/estória/conto
incinerador	fornalha/forno/fogão/combustão
tipologia	categorização/classificação
status	condição/estado/situação
cabeleireiro	cabeleireira/artífice/artesão
compressão	pressão/concentração
lareira	nicho
holofote	luz
biodiversidade	diversidade
extremismo	ideologia
rotatividade	proporção/razão/taxa
andaime	sistema/arranjo
trombone	tocador/instrumentista/instrumentalista/músico
congolês	africano
dígito	membro/inteiro
invocação	realização/ilusionismo/magia/mágica/execução/implementação
estimação	respeito/deferência
mascote	criatura/organismo/ser
posteridade	geração
forja	trabalho/laboratório/oficina/emprego
acrobacia	ginástica
apêndice	parte/porção/post-scriptum
desalento	desespero
apego	sentimento/emoção/impressão/afecção/carinho/afeição/amor
besta	arco/assaltante/criatura/organismo/ser/agressor/atacante
divindade	qualidade
colector	tubulação/canal/duto
guarnição	exército/milícia
carroça	carruagem/vagão
melão	fruta
epílogo	conclusão
deslocamento	translação/mudança/movimento/traslado
couve	vegetal/repolho
hippie	cruzado/reformador
terno	fato/traje/vestido/vestuário/roupa
verniz	capa
sionista	judia/hebreu/judeu/hebraico
cuspir	expulsão
leiteiro	entregador
cartografia	fabrico/fabricação
reciprocidade	intercâmbio/relação/conexão
cera	gordura/lípido
estilhaço	munição
disfarce	vestido/vestuário/roupa/traje
pagão	alma/cristã/cristão/indivíduo/alguém/pessoa
zanga	emoção/abalo/comoção/sentimento
clone	criatura/gravação/organismo/ser
anão	criatura/fada/organismo/ser
sedimento	substância/matéria/solo/terra
formalismo	hábito/costume/doutrina/filosofia
estima	honra/saudação
confidencialidade	clandestinidade/segredo/intimidade/privacidade/sigilo
separatismo	tendência/separação
condomínio	casa/abrigo/alojamento
cómico	intérprete
alameda	estrada/rua/via/caminho
mensageiro	turista/viajante
geólogo	cientista
ambiência	propriedade/característica/predicado/atributo/estado/situação/condição
personalizado	negociação/transação
cloro	halogénio/gás
antagonismo	impedimento/oposição/aversão/ressentimento/repulsa/inimizade/hostilidade/interferência
envenenamento	homicídio/assassinato/morte
valsa	dance_music
mercúrio	metal/calor/temperatura
soco	infortúnio/porrada/golpe/azar/acidente
sitcom	programa/show
remorso	mágoa/tristeza/pesar
depositante	investidor
susceptibilidade	estado/situação/condição
alfa	princípio/decolagem/começo/início/letra/caractér/carácter
sublinha	traço
pêlo	cabelo
arquétipo	exemplo/exemplar
sucedâneo	substituto
sótão	andar/piso/pavimento
tomo	coisa
ceia	jantar/repasto/refeição
judaísmo	igreja/religião/monoteísmo
pulo	transição/impulsão/propulsão/crescimento/aumento/salto
graduação	classe/hierarquia/posição/posto
palavrão	verbo/expressão/enunciado/profanação/palavra/termo/vocábulo
kit	parafernália
ilhéu	morador/habitante
franqueza	honestidade
feitiço	encantamento/idioma/mágica/ilusionismo/magia/encanto/bruxaria
bordel	prédio/edifício
soneto	poema/poesia
sexagenário	idoso/velho
vitela	vianda/carne
vivacidade	energia/vigor
descrença	dúvida/incerteza
lodo	matéria/substância
avalancha	avalanche
rasgo	fenda/pano/vão
esconderijo	refúgio/guarida/asilo/casa/habitação/vivenda/área/região
peculato	furto/roubo
sapo	anfíbio/rã
cabaret	exibição/apresentação
prelúdio	música
ex-libris	etiqueta
prefeito	autarca/político
marasmo	subnutrição/disfunção/desnutrição
bolacha	bolo
auscultação	escuta
comediante	intérprete
regeneração	revivalismo/revitalização/ressurreição/ressurgência
benção	sorte
ribeiro	corrente/esteiro/riacho/córrego
aborígene	australiano/raça/etnicidade/etnia
pasto	forragem/erva/maconha/prado/pradaria
desertor	culpado
camelo	ungulados
purificação	atividade/limpeza
conciliador	intercessor/mediador
copa	vértice/copo/topo
assimilação	educação/relação/ensino/ligação
torrente	tiro
gaiola	restrição/limitação/jaula
carneiro	vianda/bovídeos/ovelha/carne
riacho	córrego
bávaro	alemão/alemã
descendência	genealogia/parentesco/relação/parente
irmandade	estrato/classe
maca	veículo/liteira
êxtase	euforia/humor/espírito
nudez	estado/situação/condição
macedônio	eslavo
tripa	corda
prevalência	proporção/número/razão/taxa
canela	casca/anatomia/especiaria/condimento/tempero
inutilidade	qualidade
deusa	deus/divindade
cabrito	cabra/bode/bovídeos
avaliador	crítico/autoridade/julgador
popa	costas/reverso/dorso
bombardeiro	avião/aeroplano
metadona	narcótico
leitão	porco/porquinho
sereia	alarme
linho	pano/erva/maconha/fazenda/tecido
sublevação	rebelião/insurreição/revolta
padaria	loja/trabalho/laboratório/oficina/emprego
cisterna	vasilhame/vasilha/vaso/piscina/tanque
inexperiência	ignorância
aqueduto	duto/canal/conduto/estrada
biógrafo	autor/escritor
galopante	turista/viajante
façanha	conquista/consumação/realização/proeza/feito/ação/ato/atividade
novilho	toiro/touro
heresia	orientação
tédio	melancolia
hamburger	sanduíche
berro	expressão/enunciado
simulacro	aparência
engrenagem	máquina/mecanismo/roda
lápide	monumento
contabilista	empresário
leucemia	câncer/cancro
poça	oceano/água
proponente	alma/indivíduo/alguém/pessoa
insígnia	tarja/distintivo/crachá
aversão	abominação/hesitação/relutância/repulsa/asco/náusea/repugnância/nojo/impressão/emoção/abalo/comoção/sentimento/ódio
pião	brinquedo
dançarino	intérprete
carnificina	homicídio/assassínio/assassinato
pugilista	combatente/lutador/guerreiro/lutadora
feminismo	causa/campanha/doutrina/filosofia
moça	jovem/menor/juvenil/fêmea/garota/rapariga/mulher/senhorita
assiduidade	diligência
esquizofrenia	psicose
entorse	torção
luar	luz
sogro	cunhado/papai/papá/pai/painho
desintoxicação	tratamento
cadeado	fechadura
reto	anatomia
mandamento	ordem/comando
iconografia	imagem/desenho/figura/fotografia/ilustração/ícone
regressão	anormalidade
pedestre	peão/turista/viajante
propensão	tendência
forcado	implemento/ferramenta/instrumento
massagem	tratamento
k	letra/caractér/carácter
senado	legislatura
afro-americano	estado-unidense/norte-americano
napolitano	italiano/italiana/itálico
meteorito	meteoróide/meteoro
permissão	autorização
fundição	pesca/pesca_à_linha/usina/fábrica
esmagamento	pele/couro/pressão/compressão
chaga	infecção
estandarte	pendão/bandeira/pavilhão/naipe/emblema
paleta	lousa/tábua/quadro
desregulamentação	emancipação
senha	arcano/segredo
obreiro	trabalhador/assalariado/empregado/operário
mutante	criatura/organismo/ser
precariedade	qualidade
mercador	comerciante/negociante/empresário
sultão	governador/governante
disseminação	espalhamento
pecador	culpado
girassol	flor
cabana	casa/habitação/vivenda/refúgio/asilo
tabagismo	respiração
oponente	contendor
superstição	convicção/religião/opinião/fé/crença
repasto	pão/alimentação/alimento/nutrição/comida
fervura	aquecimento/calor/temperatura/esquentamento/evaporação/vapor
biotecnologia	tecnologia/engenharia
cartucho	módulo/munição
sobrenatural	causador
brinco	joalharia/joalheria/jóia
carregador	obreiro/trabalhador/operário
tocha	lanterna/luz/archote/facho
carregador	mensageiro/operário/trabalhador/obreiro
fiança	multa
síndroma	sintoma
manipulador	causador
audácia	ousadia/agressividade
giro	rotação
cinta	chicote/laço/chibata/banda
orquestração	arranjo
vip	personagem
preponderância	número
chouriço	gatuno/salsicha/ladra/ladrão
charco	oceano/água
duquesa	lady
capitulação	derrota/perda
iogurte	lacticínio/laticínio
apostador	alma/indivíduo/alguém/pessoa
aspirina	analgésico
plebiscito	votação
meia_noite	hora
clímax	nível/grau/ápice/fase
coloração	tingimento
habitáculo	habitat
rebocador	navio/escaler/barco/batel/bote
mendigo	pedinte
lavandaria	vestuário/roupa
tira	secção/polícia/porção/pedaço/tomo/parte/agente/policial/guarda
arrecadação	reunião
briga	batalha/pugna/peleja/combate/disputa/luta
tv	radiorreceptor/receptor/broadcast
coletor	trabalhador/alma/indivíduo/alguém/pessoa
feudo	vizinhança/fazenda/bairro
monitorização	observação/observância/vislumbre
infidelidade	qualidade
ramadão	jejum
adjectivo	modificador
invólucro	cobertura/capa
toada	música
skate	lousa/tábua/quadro
jazigo	estrato
conquistador	vencedor/explorador/exploradora
clérigo	líder/chefe/ordem/sacerdote/pároco/pastor
mago	bruxo/bruxa/ocultista
ciclone	atmosfera/vendaval/ambiente
libertário	filósofo/advogado/representante/defensor/proponente
recebimento	aquisição/saudação
salva-vidas	ajudante/assistente/empregado
zinco	metal
cobardia	ânimo
minuta	nota
sexteto	reunião
polo	camisa
consolo	assistência/socorro/ajuda
optimização	melhoramento/melhoria
lacticínio	alimento
jardineiro	assalariado/empregado/operário
comoção	desordem/bagunça/sentimento/emoção/impressão
campainha	botão
rancor	aversão/ressentimento/repulsa/inimizade/hostilidade
malformação	doença/aflição
esterilização	cirurgia/operação/limpeza
joalharia	decoração/ornamento
brio	auto-estima/orgulho
pregador	clérigo/sacerdote/pároco/pastor
artífice	fazedor/creador/criador
condimento	ingrediente/tempero
javali	porco/suíno
vulgaridade	comentário/profanação/palavrão/observação
simbiose	interdependência
dínamo	gerador
anuência	aceitação
anacronismo	produto/utensílio/artefato
gênio	alma/intelectual/intelecto/espírito/fantasma
ringue	tablado
doçura	amizade/sabor/gosto
calvário	experiência
rolha	obstáculo
cristalino	órgão
granel	depósito
interdependência	reciprocidade
disfunção	doença/patologia
aderência	apoio/suporte
neutrão	nucleão
rixa	discussão/disputa/controvérsia
dianteira	face/lado
tirano	alma/autocrata/ditador/indivíduo/alguém/pessoa/governador/governante
budismo	fé/igreja/religião
talk-show	emissão/programa
heroísmo	denodo/coragem/ânimo
devaneio	sonho
pizza	prato
criancinha	filha/criança/menino/filho
ligamento	ligação
fatwa	sentença/ditame/julgamento
aldeão	morador/habitante
revendedor	provedor/fornecedor
perfuração	produção/buraco
júbilo	expressão/enunciado/alegria
trajeto	excursão
prontidão	condição/estado/situação
veneziano	italiano/italiana/itálico
autoestrada	rodovia/estrada
caldeirão	pote
albergue	casa/abrigo/alojamento/hotel
fungo	criatura/organismo/ser
homogeneidade	semelhança/uniformidade
colonizador	fundador/idealizador/pai/iniciador
flash	luz/candeia/lâmpada
proletário	plebeu
verve	energia/vigor
bordado	criação
hospitalidade	amizade/recepção
puritano	asceta
monovolume	veículo/auto/viatura/automóvel/máquina/carro
pulseira	faixa/joalharia/joalheria/jóia
hidrogénio	gás
espreita	caminhada
vidente	espectador/adivinhador/observador
malaio	asiático/asiática
pedal	alavanca/pé-de-cabra
imensidão	extensão
bengala	vara/pau/bastão
amadorismo	atleta
crepúsculo	luz/hora
humorista	artista
bacharel	cavaleiro
escarpa	ladeira/fortaleza/encosta/declive/subida/costa/fortificação
meteoro	luz
grandiosidade	estilo/língua/discurso/linguagem
sindicância	pesquisa/inquérito/investigação
duplicidade	engano
boina	boné/barrete
rã	anfíbio/sapo
demência	loucura/insanidade
morcego	mamífero
predisposição	tendência
humanização	melhoramento/melhoria
amêndoa	drupa
revivalismo	progresso/melhoria
rapazinho	varão/macho/homem
desolação	ruína/conclusão/fim/resultado/chegada/destruição/demolição
eufemismo	expressão/locução/provérbio/ditado/idioma/declaração/descrição
amputação	deficiencia/cirurgia/operação/incapacidade/deficiência/deficiente/inabilidade
serigrafia	gravura
epígrafe	inscrição
costureiro	creador/criador
acepção	sentido/intenção/significação/significado
presépio	figura/ilustração/desenho/imagem/representação
nuca	rabo/traseiro
ocultação	pausa/interrupção/ocupação/atividade
lombo	anatomia/corte
caverna	formação/furna/gruta
prisma	poliedro
confidência	segredo
santidade	qualidade
vômito	excremento/reflexo/excreção/merda/expulsão
adversidade	infortúnio/azar/acidente
arauto	mensageiro
incumbência	obrigação/responsabilidade/dever
aclamação	aplauso/aprovação
minúcia	objeto
crivo	peneira/coador/filtro/passador
tempero	converter/ingrediente/condimento
handicap	bem/propriedade/vantagem/recurso/virtude
maioridade	número
parentesco	relação/conexão
tramitação	discussão/debate
metalurgia	ciência
contrabandista	criminoso
sina	estado
dolo	planeamento/planejamento
servidão	jugo/escravidão
tesoura	siri/caranguejo
objectiva	lente
consternação	terror/emoção/abalo/comoção/sentimento/temor/medo/susto
cabala	teosofia
bebop	jazz
grelhado	cozinha/culinária/preparação
sex	sentimento/emoção/impressão
farpa	montão/apara/madeira/colecção/ruma/chusma/coleção/grupo/aglomeração
réptil	vertebrado
maoísta	advogado/representante/defensor/proponente
azoto	gás/nitrogénio
alavanca	barra/máquina/pé-de-cabra
malabarismo	rearranjo/apresentação/interpretação
discernimento	compreensão
infortúnio	ensejo/sorte/azar/acidente/problema/sina/destino
obscuridade	incompreensibilidade
